Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,Conn_01x14_Socket,FFC_0.5-14P_CTXJ-H2.0_1,1.804000,-53.250000,270.000000,bottom
C2,100nF,C_0603_1608Metric,3.197992,-59.766008,45.000000,top
C3,100.0uF,CP_EIA-3216-10_Kemet-I,3.154600,-65.340000,180.000000,top
C4,22.0uF,CP_EIA-3216-10_Kemet-I,6.496000,-83.484000,-90.000000,top
C5,22.0uF,CP_EIA-3216-10_Kemet-I,8.782000,-80.342000,-90.000000,top
C6,100nF,C_0603_1608Metric,-3.810000,-26.670000,90.000000,top
C7,2.2uF,CP_EIA-3216-10_Kemet-I,9.367870,-58.229453,-45.000000,top
C8,100nF,C_0603_1608Metric,-6.299200,-26.416000,180.000000,top
C9,22.0uF,CP_EIA-3216-10_Kemet-I,-3.810000,-22.686000,-90.000000,top
C10,100.0uF,CP_EIA-3216-10_Kemet-I,0.687582,-49.760353,135.000000,top
C11,22.0uF,CP_EIA-3216-10_Kemet-I,-3.810000,-30.654000,-90.000000,top
C12,2.2uF,CP_EIA-3216-10_Kemet-I,5.693429,-46.990000,45.000000,top
C13,100nF,C_0603_1608Metric,8.528000,-84.313000,-90.000000,top
C14,100nF,C_0603_1608Metric,2.679574,-49.030745,135.000000,top
C15,100nF,C_0603_1608Metric,6.750000,-79.500000,-90.000000,top
C16,100.0uF,CP_EIA-3216-10_Kemet-I,4.931429,-60.960000,-135.000000,top
C17,100nF,C_0603_1608Metric,7.500831,-59.040206,-45.000000,top
C18,220pF,C_0402_1005Metric,-1.270000,-33.020000,90.000000,top
C19,220pF,C_0402_1005Metric,5.906000,-32.943800,90.000000,top
C20,220pF,C_0402_1005Metric,6.000000,-22.500000,90.000000,top
C21,220pF,C_0402_1005Metric,-1.270000,-22.578000,90.000000,top
C22,56p,C_0402_1005Metric,3.225800,-79.248000,90.000000,top
C23,56p,C_0402_1005Metric,-2.362200,-79.248000,90.000000,top
C24,56p,C_0402_1005Metric,-2.362200,-89.154000,-90.000000,top
C25,56p,C_0402_1005Metric,3.225800,-89.154000,-90.000000,top
C26,22.0uF,CP_EIA-3216-10_Kemet-I,5.000000,-38.354000,-90.000000,top
C27,100nF,C_0603_1608Metric,2.343400,-36.830000,180.000000,top
C28,100.0uF,CP_EIA-3216-10_Kemet-I,2.900000,-75.500000,180.000000,top
C29,100nF,C_0603_1608Metric,-1.164000,-64.908100,180.000000,top
C30,2.2nF,C_0402_1005Metric,-3.957400,-64.832000,180.000000,top
C31,100nF,C_0603_1608Metric,0.750000,-61.750000,90.000000,top
D1,1N4007FL,D_SOD-123F,-3.533500,-96.774000,90.000000,top
D2,1N4007FL,D_SOD-123F,-3.533500,-105.156000,90.000000,top
D3,LED 0402 GREEN,LED_0402_1005Metric,-18.754900,-12.242800,180.000000,top
D4,LED 0402 RED,LED_0402_1005Metric,-18.754900,-13.157200,180.000000,top
D5,LED 0402 GREEN,LED_0402_1005Metric,-18.739000,-26.009600,180.000000,top
D6,LED 0402 RED,LED_0402_1005Metric,-18.739000,-26.924000,180.000000,top
D7,LED 0402 GREEN,LED_0402_1005Metric,-18.739000,-39.827200,180.000000,top
D8,LED 0402 RED,LED_0402_1005Metric,-18.739000,-40.741600,180.000000,top
D9,LED 0402 GREEN,LED_0402_1005Metric,-18.754900,-53.594000,180.000000,top
D10,LED 0402 RED,LED_0402_1005Metric,-18.739000,-54.508400,180.000000,top
D11,LED 0402 GREEN,LED_0402_1005Metric,-18.789800,-67.411600,180.000000,top
D12,LED 0402 RED,LED_0402_1005Metric,-18.789800,-68.326000,180.000000,top
D13,LED 0402 GREEN,LED_0402_1005Metric,-18.739000,-81.178400,180.000000,top
D14,LED 0402 RED,LED_0402_1005Metric,-18.739000,-82.092800,180.000000,top
D15,LED 0402 GREEN,LED_0402_1005Metric,-18.739000,-94.945200,180.000000,top
D16,LED 0402 RED,LED_0402_1005Metric,-18.739000,-95.859600,180.000000,top
D17,LED 0402 GREEN,LED_0402_1005Metric,-18.739000,-108.610400,180.000000,top
D18,LED 0402 RED,LED_0402_1005Metric,-18.739000,-109.524800,180.000000,top
J1,CONN 2x5 P=2.54mm,PinHeader_2x05_P2.54mm_Horizontal,2.000000,-105.975000,90.000000,top
J2,CONN 2x6 P=2.54mm,PinHeader_2x06_P2.54mm_Horizontal,2.000000,-16.750000,90.000000,top
J4,AUDIO JACK PJ-324M0,pj324m,-12.982000,-6.041200,90.000000,top
J5,AUDIO JACK PJ-324M0,pj324m,-12.982000,-19.829771,90.000000,top
J6,AUDIO JACK PJ-324M0,pj324m,-12.982000,-33.618342,90.000000,top
J7,AUDIO JACK PJ-324M0,pj324m,-12.982000,-47.406913,90.000000,top
J8,AUDIO JACK PJ-324M0,pj324m,-12.982000,-61.195484,90.000000,top
J9,AUDIO JACK PJ-324M0,pj324m,-12.982000,-74.984055,90.000000,top
J10,AUDIO JACK PJ-324M0,pj324m,-12.982000,-88.772626,90.000000,top
J11,AUDIO JACK PJ-324M0,pj324m,-12.982000,-102.561200,90.000000,top
L1,FERRITE,L_0603_1608Metric,-3.787500,-100.076000,0.000000,top
L2,FERRITE,L_0603_1608Metric,-3.787500,-101.854000,0.000000,top
L3,FERRITE,L_0603_1608Metric,-3.784400,-16.484600,180.000000,top
L4,FERRITE,L_0603_1608Metric,-3.784500,-14.732000,0.000000,top
L5,FERRITE,L_0603_1608Metric,-3.784500,-18.034000,180.000000,top
Q1,2N7002E,SOT-23,-3.740000,-10.300000,90.000000,top
R1,4K7,R_0402_1005Metric,-4.200000,-5.890000,-90.000000,top
R2,4K7,R_0402_1005Metric,-3.184000,-5.890000,-90.000000,top
R3,4K7,R_0402_1005Metric,-3.750000,-12.950000,180.000000,top
R4,4K7,R_0402_1005Metric,-3.690000,-7.575000,0.000000,top
R5,4K7,R_0402_1005Metric,-3.225800,-35.687600,90.000000,top
R6,100K,R_0603_1608Metric,-0.774200,-35.052000,180.000000,top
R7,1K,R_0603_1608Metric,8.750000,-30.734000,0.000000,top
R8,4K7,R_0402_1005Metric,-4.241800,-35.687600,90.000000,top
R9,100K,R_0603_1608Metric,4.509000,-35.001200,0.000000,top
R10,1K,R_0603_1608Metric,8.750000,-32.512000,0.000000,top
R11,4K7,R_0402_1005Metric,-4.572000,-46.000000,-90.000000,top
R12,100K,R_0603_1608Metric,2.463800,-19.862800,0.000000,top
R13,1K,R_0603_1608Metric,8.750000,-27.178000,0.000000,top
R14,4K7,R_0402_1005Metric,-3.556000,-46.000000,-90.000000,top
R15,100K,R_0603_1608Metric,-0.774200,-19.837400,180.000000,top
R16,1K,R_0603_1608Metric,8.750000,-28.956000,0.000000,top
R17,4K7,R_0402_1005Metric,-2.540000,-46.000000,-90.000000,top
R18,1K,R_0603_1608Metric,4.495800,-78.740000,90.000000,top
R19,56K,R_0402_1005Metric,2.717800,-77.724000,180.000000,top
R20,4K7,R_0402_1005Metric,2.209800,-79.248000,-90.000000,top
R21,4K7,R_0402_1005Metric,-1.524000,-46.000000,-90.000000,top
R22,1K,R_0603_1608Metric,-3.632200,-78.740000,90.000000,top
R23,56K,R_0402_1005Metric,-1.854200,-77.724000,0.000000,top
R24,4K7,R_0402_1005Metric,-1.346200,-79.248000,-90.000000,top
R25,4K7,R_0402_1005Metric,-0.508000,-46.000000,-90.000000,top
R26,1K,R_0603_1608Metric,-3.632200,-89.789000,-90.000000,top
R27,56K,R_0402_1005Metric,-1.346200,-89.154000,90.000000,top
R28,4K7,R_0402_1005Metric,-4.826000,-84.076000,-90.000000,top
R29,4K7,R_0402_1005Metric,0.508000,-46.000000,-90.000000,top
R30,1K,R_0603_1608Metric,4.521200,-89.712800,-90.000000,top
R31,56K,R_0402_1005Metric,2.209800,-89.152000,90.000000,top
R32,4K7,R_0402_1005Metric,5.842000,-89.152000,90.000000,top
R33,330R,R_0603_1608Metric,2.343400,-38.862000,0.000000,top
R42,X.X,R_0402_1005Metric,7.864600,-36.449000,0.000000,top
R43,402K,R_0402_1005Metric,7.255000,-34.772600,90.000000,top
RN1,14.3K,R_Array_Convex_4x0402,1.003800,-33.020000,180.000000,top
RN2,14.3K,R_Array_Convex_4x0402,3.924800,-33.020000,180.000000,top
RN3,14.3K,R_Array_Convex_4x0402,3.924800,-22.479000,180.000000,top
RN4,14.3K,R_Array_Convex_4x0402,1.003800,-22.479000,180.000000,top
RN5,100K,R_Array_Convex_4x0402,0.431800,-78.486000,0.000000,top
RN6,100K,R_Array_Convex_4x0402,0.431800,-89.738200,180.000000,top
RN7,100K,R_Array_Convex_4x0402,9.156000,-34.806000,180.000000,top
RN8,120R,R_Array_Convex_4x0402,-16.357600,-12.700000,180.000000,top
RN9,120R,R_Array_Convex_4x0402,-16.205200,-40.233600,180.000000,top
RN10,120R,R_Array_Convex_4x0402,-16.306800,-67.868800,180.000000,top
RN11,120R,R_Array_Convex_4x0402,-16.306800,-95.402400,180.000000,top
RN12,560R,R_Array_Convex_4x0402,-4.318000,-56.933500,270.000000,top
RN13,560R,R_Array_Convex_4x0402,-1.048000,-56.933500,270.000000,top
U1,AK4619VN AUDIO CODEC,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,5.111181,-53.936575,270.000000,top
U2,TL074 OP AMP,SOIC-14_3.9x8.7mm_P1.27mm,0.406400,-84.150200,180.000000,top
U3,TL074 OP AMP,SOIC-14_3.9x8.7mm_P1.27mm,2.000000,-27.813000,0.000000,top
U4,PCA9557PW IO EXPANDER,TSSOP-16_4.4x5mm_P0.65mm,-2.057400,-40.666000,180.000000,top
U5,24AA025UIDT EEPROM,SOT-23-6,-3.775000,-2.325000,270.000000,top
U6,CY8CMBR3108,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,-2.560000,-61.190000,0.000000,top
U8,LM4040DBZ-3 VREF,SOT-23,4.062500,-42.672000,180.000000,top
U9,TL072 OP AMP,SOIC-8_3.9x4.9mm_P1.27mm,8.978400,-40.767000,180.000000,top
U10,PCA9635 LED DRIVER,TSSOP-28_4.4x9.7mm_P0.65mm,0.364000,-70.578000,180.000000,top
